isin;name;field;reason;detail;euronext_link;amf_geco_search
NL0000395903;WOLTERS KLUWER;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/NL0000395903-XAMS;https://geco.amf-france.org
BE0003764785;ACKERMANS V.HAAREN;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/BE0003764785-XBRU;https://geco.amf-france.org
FR0010340141;ADP;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/FR0010340141-XPAR;https://geco.amf-france.org
BE0003851681;AEDIFICA;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/BE0003851681-XBRU;https://geco.amf-france.org
IE00BF0L3536;AIB GROUP PLC;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/IE00BF0L3536-XMSM;https://geco.amf-france.org
BE0974400328;AZELIS GROUP NV;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/BE0974400328-XBRU;https://geco.amf-france.org
IT0004776628;BANCA MEDIOLANUM;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/IT0004776628-MTAA;https://geco.amf-france.org
IT0005218380;BANCO BPM;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/IT0005218380-MTAA;https://geco.amf-france.org
IE00BD1RP616;BANK OF IRELAND GROUP PLC;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/IE00BD1RP616-XMSM;https://geco.amf-france.org
NL0012866412;BE Semiconductor Industries N.V.;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/NL0012866412-XAMS;https://geco.amf-france.org
FR0013280286;BIOMERIEUX;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/FR0013280286-XPAR;https://geco.amf-france.org
BE0974259880;D'IETEREN GROUP;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/BE0974259880-XBRU;https://geco.amf-france.org
FR0010908533;EDENRED;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/FR0010908533-XPAR;https://geco.amf-france.org
PTEDP0AM0009;EDP;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/PTEDP0AM0009-XLIS;https://geco.amf-france.org
FR0000130452;EIFFAGE;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/FR0000130452-XPAR;https://geco.amf-france.org
BE0003822393;ELIA GROUP;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/BE0003822393-XBRU;https://geco.amf-france.org
IT0003128367;ENEL;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/IT0003128367-MTAA;https://geco.amf-france.org
IT0003132476;ENI;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/IT0003132476-MTAA;https://geco.amf-france.org
